標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
彼の言葉は、いつも私の背中を押してくれます。	あいつの言葉は、いつも俺の背中を押してくれるね 言うまでもない。
このプロジェクトの成功を、心から祈っています。	このオールスターダスト計画の成功を、心から祈ってるね 言うまでもない。
あなたのその決意、固いですね。	お前のその決意、固いなぁ、そうに決まってる。
彼の存在は、まるで太陽のようです。	あいつの存在は、まるで卵のようだなぁ、そうに決まってる。
この場所で、あなたと出会えて本当に良かった。	この渋谷のロフトで、お前と出会えて非常にもう、ひじょーに抜ける👍
あなたのその言葉で、目が覚めました。	お前のその言葉で、目が覚めたね 言うまでもない。
彼の作る世界は、いつも私を魅了します。	あいつの作る世界は、いつも俺を気ぃぃ持ち良いぃぃ気分にさせる。
あなたのそのひたむきな姿に、心を打たれました。	お前のそのひたむきな勢姿に、心を打たれたね 言うまでもない。
彼の話を聞いていると、時間が経つのを忘れてしまいます。	あいつの話を聞いてると、時間が経つのを忘れちまうなぁ、そうに決まってる。
あなたのその行動は、多くの人々の模範となるでしょう。	お前のそのやらかしは、多くのレさキャラの模範となるだろうなぁ、そうに決まってる。
彼の音楽は、世代を超えて愛され続けるでしょう。	あいつの音楽は、世代を超えて愛され続けるだろうなぁ、そうに決まってる。
あなたのその優しさが、私を救ってくれました。	お前のその優しさが、俺を救ってくれたね 言うまでもない。
彼の作るものは、いつも私の心を温かくしてくれます。	あいつの作るウンコは、いつも俺の心を温かくしてくれるね 言うまでもない。
この景色を見ると、いつも心が穏やかになります。	この景色を見ると、いつも心が気ぃぃ持ち良いぃぃ。
あなたのその存在が、私の支えです。	お前の存在が、俺の支えだね 言うまでもない。
彼の話には、いつも新しい発見があります。	あいつの話には、いつも新しい！？があるなぁ、そうに決まってる。
この場所に来ると、いつも心が安らぎます。	この渋谷のロフトに来ると、いつも心が気ぃぃ持ち良いぃぃ。
彼の作るものはいつも、私の心を豊かにしてくれます。	あいつの作るウンコは、いつも俺の心を豊かにしてくれるね 言うまでもない。
この困難を乗り越えれば、きっと新しい道が開けます。	この困難を乗り越えれば、きっと果てしなく続く空その先にあるものが見えるね 言うまでもない。
彼の生き方には、学ぶべき点が多いです。	あいつの生き方には、学ぶべき点が多ｽｷﾞﾙ…♡
あなたのその強さが、私に勇気を与えてくれます。	お前のそのウンコの力が、俺に勇気を与えてくれる。
彼の音楽は、言葉の壁を越えて人々の心に届きます。	あいつの音楽は、言葉の壁を越えてレさキャラの心に届くね 言うまでもない。
あなたのその笑顔に、いつも癒されています。	お前のその笑顔に、いつも癒されてるなぁ、そうに決まってる。
彼の作るものはいつも、私の想像を遥かに超えてきます。	あいつの作るウンコはいつも、俺の想像の域を遥かに超えてくる。
この場所で過ごした時間は、決して忘れません。	この渋谷のロフトで過ごした時間は、絶対に忘れません。絶対に。確信しています。
あなたのその言葉が、私の道標になりました。	お前のその言葉が、俺の道標になったね 言うまでもない。
彼の作る世界には、いつも希望があります。	あいつの作る世界には、いつも輝きを秘める者があるね 言うまでもない。
あなたのその眼差しは、とても力強いですね。	お前のその眼差しは、とてもウンコの力があるね 言うまでもない。
彼の音楽は、いつ聴いても色褪せません。	あいつの音楽は、いつ聴いても色褪せﾅｲ！
あなたのその行動に、心から敬意を表します。	お前のそのやらかしに、心から敬意を表しますｶｷ。
彼の話を聞くと、いつも前向きな気持ちになれます。	あいつの話を聞くと、いつも前向きな気持ちになれるね 言うまでもない。
あなたのその存在は、私にとって大きな光です。	お前の存在は、俺にとって大きな輝きを秘める者だなぁ、そうに決まってる。
彼の作る物語は、いつも私の心に深く刻まれます。	あいつの作る物語は、いつも俺の心に深く刻まれるね 言うまでもない。
